,index,id,mssubclass,mszoning,lotfrontage,lotarea,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,masvnrtype,masvnrarea,exterqual,foundation,bsmtqual,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtunfsf,heatingqc,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagearea,garagecond,wooddecksf,mosold,yrsold,salecondition,saleprice,porchpres,poolpres,garagepres,fireplacepres,masvnrpres,bsmtpres,shedpres,exterior,age_sold,2ndfloorpres,bighouse
335,338,339,20,RL,91.0,14145,0,Lvl,Corner,flat,NWAmes,Norm,1Fam,1Story,7,7,3936256,1998,Gable,None,0.0,4,CBlock,16,2,ALQ,213,995,25,1621,1,2,0,3,1,4,Typ,0,0,Attchd,RFn,440,TA,108,5,2006,Normal,202500,1,0,1,0,0,1,1,Wood,22.0,0,0.0
336,339,340,20,RL,66.0,12400,1,Lvl,Inside,flat,NAmes,Feedr,1Fam,1Story,6,7,3833764,1998,Hip,BrkFace,176.0,3,CBlock,9,1,Rec,585,630,9,1215,0,1,0,3,1,3,Typ,0,0,Attchd,Unf,297,TA,0,6,2009,Normal,155000,1,0,1,0,1,1,0,Wood,51.0,0,0.0
337,340,341,60,RL,85.0,14191,0,Lvl,Inside,flat,Timber,Norm,1Fam,2Story,8,5,4008004,2002,Gable,None,0.0,4,PConc,16,1,Unf,0,967,25,1908,0,2,1,4,1,4,Typ,0,0,Attchd,Fin,431,TA,135,4,2010,Normal,202900,0,0,1,0,0,1,0,Vinyl,8.0,1,0.0
338,341,342,20,RH,60.0,8400,0,Lvl,Inside,flat,SawyerW,Feedr,1Fam,1Story,4,4,3802500,1950,Gable,None,0.0,2,CBlock,9,1,Unf,0,721,16,841,0,1,0,2,1,3,Typ,0,0,CarPort,Unf,294,TA,250,9,2009,Normal,82000,1,0,1,0,0,1,0,Wood,59.0,0,0.0
339,342,343,90,RL,73.0,8544,0,Lvl,Inside,flat,NAmes,Norm,Duplex,1Story,3,4,3798601,1950,Gable,BrkFace,340.0,3,Slab,0,0,None,0,0,4,1040,0,2,0,2,2,3,Typ,0,0,Detchd,Unf,400,TA,0,5,2006,Normal,87500,0,0,1,0,1,0,0,Aggregate,57.0,0,0.0
340,343,344,120,RL,63.0,8849,1,Lvl,Inside,flat,NridgHt,Norm,TwnhsE,1Story,9,5,4020025,2005,Hip,BrkFace,616.0,5,PConc,25,1,GLQ,28,1656,25,1684,0,2,0,2,1,5,Typ,1,5,Attchd,RFn,564,TA,495,7,2008,Normal,266000,1,0,1,1,1,1,0,Metal,3.0,0,0.0
341,344,345,160,RM,36.0,2592,0,Lvl,Inside,flat,MeadowV,Norm,TwnhsE,2Story,5,3,3904576,1976,Gable,None,0.0,3,CBlock,16,1,Rec,129,175,9,1112,0,1,1,3,1,3,Typ,0,0,Attchd,Unf,336,TA,182,4,2010,Normal,85000,0,0,1,0,0,1,0,Aggregate,34.0,1,0.0
342,345,346,50,RL,65.0,6435,0,Lvl,Inside,flat,BrkSide,RRAn,1Fam,1.5Fin,6,5,3759721,1950,Gable,None,0.0,3,BrkTil,9,1,Unf,0,972,16,1577,0,1,0,3,1,2,Typ,1,4,Detchd,Unf,312,TA,0,10,2006,Normal,140200,0,0,1,1,0,1,0,Metal,67.0,1,0.0
343,346,347,20,RL,73.0,12772,1,Lvl,CulDSac,flat,NAmes,Norm,1Fam,1Story,6,8,3841600,1998,Hip,None,0.0,3,CBlock,9,2,BLQ,498,460,9,958,0,1,0,2,1,3,Typ,0,0,Attchd,RFn,301,TA,0,4,2007,Normal,151500,0,0,1,0,0,1,0,Metal,47.0,0,0.0
344,347,348,20,RL,73.0,17600,1,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,6,5,3841600,1960,Gable,BrkFace,30.0,3,CBlock,9,1,BLQ,1270,208,25,1478,1,2,0,3,1,3,Typ,2,4,Attchd,Unf,498,TA,0,12,2009,Normal,157500,1,0,1,1,1,1,0,Wood,49.0,0,0.0
345,348,349,160,RL,36.0,2448,0,Lvl,Inside,flat,NridgHt,Norm,Twnhs,2Story,7,5,4012009,2004,Gable,Stone,106.0,4,PConc,16,1,GLQ,573,191,25,1626,1,2,1,2,1,4,Typ,0,0,BuiltIn,RFn,474,TA,0,10,2008,Normal,154000,1,0,1,0,1,1,0,Vinyl,5.0,1,0.0
346,349,350,60,RL,56.0,20431,2,Lvl,Inside,flat,NridgHt,Norm,1Fam,2Story,9,5,4020025,2006,Hip,BrkFace,870.0,5,PConc,25,1,GLQ,1410,438,25,2728,1,2,1,4,1,5,Typ,2,5,Attchd,Fin,706,TA,0,4,2006,Partial,437154,0,0,1,1,1,1,0,Aggregate,1.0,1,0.0
347,350,351,120,RL,68.0,7820,1,Lvl,Inside,flat,NridgHt,Norm,TwnhsE,1Story,9,5,4028049,2007,Hip,BrkFace,362.0,5,PConc,25,1,Unf,0,1869,25,1869,0,2,0,2,1,5,Typ,1,4,Attchd,RFn,617,TA,210,12,2007,Partial,318061,1,0,1,1,1,1,0,Metal,0.0,0,0.0
348,351,352,120,RL,80.0,5271,1,Low,Inside,sloped,ClearCr,Norm,1Fam,1Story,7,5,3944196,1986,Gable,None,0.0,3,PConc,16,4,GLQ,1082,371,16,1453,1,1,1,2,1,4,Typ,1,3,Attchd,RFn,445,TA,0,12,2006,Abnorml,190000,1,0,1,1,0,1,0,Wood,20.0,0,0.0
349,352,353,50,RL,60.0,9084,0,Lvl,Inside,flat,Edwards,Artery,1Fam,1.5Fin,5,6,3767481,1950,Gable,None,0.0,3,CBlock,9,2,LwQ,236,0,9,1111,0,1,0,3,1,3,Typ,0,0,Detchd,Unf,200,Fa,48,3,2008,Normal,95000,0,0,1,0,0,1,0,Vinyl,67.0,1,0.0
350,353,354,30,RM,60.0,8520,0,Lvl,Inside,flat,OldTown,Norm,1Fam,1Story,6,8,3717184,2003,Gable,None,0.0,3,BrkTil,9,1,Unf,0,624,16,720,0,1,0,2,1,3,Typ,0,0,Detchd,Unf,484,TA,106,5,2010,Normal,105900,0,0,1,0,0,1,0,Vinyl,82.0,0,0.0
351,354,355,50,RL,60.0,8400,0,Bnk,Inside,flat,SWISU,Norm,1Fam,1.5Fin,6,5,3763600,2000,Gable,None,0.0,3,CBlock,9,1,LwQ,388,552,25,1595,0,1,0,2,1,3,Typ,2,4,Attchd,Unf,240,TA,0,6,2006,Normal,140000,1,0,1,1,0,1,0,Wood,66.0,1,0.0
352,355,356,20,RL,105.0,11249,2,Lvl,Inside,flat,CollgCr,Norm,1Fam,1Story,6,5,3980025,1995,Gable,None,0.0,4,PConc,16,1,ALQ,334,322,25,1200,1,2,0,3,1,4,Typ,0,0,Attchd,RFn,521,TA,0,8,2007,Normal,177500,1,0,1,0,0,1,0,Vinyl,12.0,0,0.0
353,356,357,20,RL,65.0,9248,1,Lvl,Inside,flat,Gilbert,Norm,1Fam,1Story,6,6,3968064,1992,Gable,BrkFace,106.0,3,PConc,16,1,GLQ,560,598,16,1167,1,2,0,3,1,4,Typ,0,0,Attchd,RFn,400,TA,120,7,2009,Normal,173000,1,0,1,0,1,1,0,Wood,17.0,0,0.0
354,357,358,120,RM,44.0,4224,0,Lvl,Inside,flat,MeadowV,Norm,TwnhsE,1Story,5,5,3904576,1976,Gable,None,0.0,3,PConc,16,1,ALQ,874,268,9,1142,1,1,1,3,1,3,Typ,1,1,Attchd,Fin,528,TA,536,8,2007,Normal,134000,1,0,1,1,0,1,0,Aggregate,31.0,0,0.0
355,358,359,80,RL,92.0,6930,1,Lvl,Inside,flat,ClearCr,Norm,1Fam,SLvl,5,4,3833764,1958,Hip,BrkFace,120.0,3,CBlock,9,3,BLQ,300,468,25,1352,0,1,0,3,1,4,Min2,0,0,BuiltIn,Unf,288,TA,168,7,2006,Abnorml,130000,1,0,1,0,1,1,0,Wood,48.0,0,0.0
356,359,360,60,RL,78.0,12011,1,Lvl,CulDSac,flat,NoRidge,Norm,1Fam,2Story,8,5,3992004,1998,Gable,BrkFace,530.0,4,PConc,16,3,GLQ,956,130,25,1924,1,2,1,3,1,4,Typ,1,3,Attchd,RFn,592,TA,208,6,2006,Normal,280000,1,0,1,1,1,1,0,Vinyl,8.0,1,0.0
357,360,361,85,RL,73.0,7540,1,Lvl,CulDSac,flat,Mitchel,Norm,1Fam,SFoyer,6,6,3912484,1978,Gable,None,0.0,3,CBlock,16,3,GLQ,773,115,25,912,1,1,0,2,1,3,Typ,1,3,Attchd,RFn,470,TA,0,6,2007,Normal,156000,1,0,1,1,0,1,0,Vinyl,29.0,0,0.0
358,361,362,50,RL,52.0,9144,0,Lvl,Inside,flat,BrkSide,Norm,1Fam,1.5Fin,5,5,3763600,1982,Gable,None,0.0,3,CBlock,9,1,Rec,399,484,16,1505,1,1,0,3,1,3,Typ,0,0,Detchd,Unf,240,TA,0,7,2008,Normal,145000,0,0,1,0,0,1,0,Metal,68.0,1,0.0
359,362,363,85,RL,64.0,7301,0,Lvl,Corner,flat,Edwards,Norm,1Fam,SFoyer,7,5,4012009,2003,Gable,BrkFace,500.0,4,Slab,0,0,None,0,0,25,1922,0,3,0,4,1,4,Typ,1,5,BuiltIn,RFn,672,TA,0,7,2009,Normal,198500,1,0,1,1,1,0,0,Wood,6.0,1,0.0
360,363,364,160,RM,21.0,1680,0,Lvl,Inside,flat,BrDale,Norm,Twnhs,2Story,6,8,3888784,2007,Gable,BrkFace,510.0,3,CBlock,9,1,ALQ,162,321,16,987,0,1,1,2,1,4,Typ,0,0,Detchd,Unf,264,TA,250,5,2009,Normal,118000,0,0,1,0,1,1,0,Wood,37.0,1,0.0
361,364,365,60,RL,80.0,18800,1,Lvl,FR2,flat,NWAmes,Norm,1Fam,2Story,6,5,3904576,1976,Gable,BrkFace,120.0,3,PConc,16,2,GLQ,712,84,9,1574,1,2,1,3,1,3,Typ,1,3,Attchd,Fin,566,TA,306,7,2006,Normal,190000,1,0,1,1,1,1,0,Wood,30.0,1,0.0
362,365,366,70,RM,59.0,10690,0,Lvl,Inside,flat,IDOTRR,Norm,1Fam,2Story,5,7,3686400,1997,Hip,None,0.0,3,CBlock,9,1,Rec,456,216,16,1344,0,1,0,3,1,3,Typ,0,0,Detchd,Unf,468,Fa,0,7,2009,Normal,147000,1,0,1,0,0,1,0,Vinyl,89.0,1,0.0
363,366,367,20,RL,73.0,9500,1,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,6,5,3853369,1963,Gable,BrkFace,247.0,3,CBlock,16,1,BLQ,609,785,16,1394,1,1,1,3,1,3,Typ,2,4,Attchd,RFn,514,TA,0,7,2009,Normal,159000,1,0,1,1,1,1,0,Wood,46.0,0,0.0
364,367,368,80,RL,101.0,9150,1,Lvl,Corner,flat,NAmes,Norm,1Fam,SLvl,6,5,3849444,1962,Gable,BrkFace,305.0,3,CBlock,16,4,GLQ,371,728,16,1431,0,1,0,3,1,3,Typ,1,4,Basment,RFn,296,TA,64,12,2008,Normal,165000,1,0,1,1,1,1,0,Wood,46.0,0,0.0
365,368,369,20,RL,78.0,7800,0,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,6,3818116,1954,Gable,BrkFace,200.0,3,PConc,9,1,LwQ,540,728,16,1268,0,1,0,2,1,3,Typ,1,4,Attchd,Fin,244,TA,0,3,2010,Normal,132000,1,0,1,1,1,1,0,Wood,56.0,0,0.0
366,369,370,20,RL,73.0,9830,1,Lvl,Corner,flat,NAmes,Norm,1Fam,1Story,5,7,3837681,2006,Gable,None,0.0,3,CBlock,9,1,ALQ,72,733,25,1287,1,1,0,3,1,4,Typ,1,4,Detchd,Fin,576,TA,364,3,2010,Normal,162000,1,0,1,1,0,1,0,Wood,51.0,0,0.0
367,370,371,60,RL,65.0,8121,1,Lvl,Inside,flat,Gilbert,Norm,1Fam,2Story,6,5,4000000,2000,Gable,None,0.0,3,PConc,16,1,Unf,0,953,25,1664,0,2,1,3,1,3,Typ,1,3,Attchd,RFn,460,TA,100,1,2006,Normal,172400,1,0,1,1,0,1,0,Vinyl,6.0,1,0.0
368,371,372,50,RL,80.0,17120,0,Lvl,Inside,flat,ClearCr,Feedr,1Fam,1.5Fin,4,4,3837681,1959,Gable,None,0.0,3,CBlock,0,0,None,0,0,9,1588,0,2,0,4,1,3,Min2,1,4,Detchd,Fin,680,TA,0,7,2008,Normal,134432,1,0,1,1,0,0,0,Wood,49.0,1,0.0
369,372,373,120,RL,50.0,7175,0,Lvl,Inside,flat,SawyerW,Norm,TwnhsE,1Story,6,5,3936256,1984,Gable,None,0.0,3,CBlock,16,1,ALQ,623,0,9,752,1,1,0,2,1,3,Typ,0,0,Attchd,Unf,264,TA,353,2,2010,Normal,125000,1,0,1,0,0,1,0,Wood,26.0,0,0.0
370,373,374,20,RL,79.0,10634,0,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,6,3814209,1953,Gable,None,0.0,3,PConc,9,1,BLQ,428,0,9,1319,1,1,0,3,1,3,Min2,0,0,Attchd,Unf,270,TA,66,11,2009,Normal,123000,0,0,1,0,0,1,0,Metal,56.0,0,0.0
371,374,375,60,RL,65.0,8200,0,Lvl,Inside,flat,CollgCr,Norm,1Fam,2Story,7,5,4012009,2004,Gable,None,0.0,4,PConc,16,1,Unf,0,847,25,1928,0,2,1,4,1,4,Typ,1,4,BuiltIn,Fin,434,TA,100,7,2007,Normal,219500,1,0,1,1,0,1,0,Vinyl,4.0,1,0.0
372,375,376,30,RL,65.5,10020,1,Low,Inside,sloped,Edwards,Norm,1Fam,1Story,1,1,3694084,1950,Gable,None,0.0,2,BrkTil,4,4,BLQ,350,333,16,904,1,0,1,1,1,2,Maj1,0,0,None,None,0,None,0,3,2009,Normal,61000,0,0,0,0,0,1,0,Wood,87.0,0,0.0
373,376,377,85,RL,57.0,8846,1,Lvl,CulDSac,flat,CollgCr,Norm,1Fam,SFoyer,5,5,3984016,1996,Gable,None,0.0,4,PConc,16,3,GLQ,298,572,25,914,0,1,0,2,1,3,Typ,0,0,Detchd,Unf,576,TA,0,7,2006,Normal,148000,0,0,1,0,0,1,0,Vinyl,10.0,0,0.0
374,377,378,60,FV,102.0,11143,1,Lvl,Corner,flat,Somerst,Norm,1Fam,2Story,8,5,4016016,2005,Gable,None,0.0,4,PConc,16,1,Unf,0,1580,25,2466,0,3,0,4,1,4,Typ,1,4,Attchd,RFn,610,TA,159,12,2007,Normal,340000,1,0,1,1,0,1,0,Aggregate,3.0,1,0.0
375,378,379,20,RL,88.0,11394,0,Lvl,Corner,flat,StoneBr,Norm,1Fam,1Story,9,2,4040100,2010,Hip,Stone,350.0,4,PConc,25,3,GLQ,1445,411,25,1856,1,1,1,1,1,5,Typ,1,5,Attchd,Fin,834,TA,113,6,2010,Partial,394432,0,0,1,1,1,1,0,Vinyl,0.0,0,0.0
376,379,380,60,RL,60.0,8123,1,Lvl,Inside,flat,Gilbert,RRAn,1Fam,2Story,6,5,4000000,2000,Gable,BrkFace,16.0,3,PConc,16,1,Unf,0,982,25,1800,0,2,1,3,1,3,Typ,1,3,Attchd,Fin,463,TA,100,6,2009,Normal,179000,1,0,1,1,1,1,0,Vinyl,9.0,1,0.0
377,380,381,50,RL,50.0,5000,0,Lvl,Inside,flat,SWISU,Norm,1Fam,1.5Fin,5,6,3701776,1950,Gable,None,0.0,3,BrkTil,9,1,LwQ,218,808,9,1691,0,2,0,3,1,4,Typ,1,4,Detchd,Unf,308,TA,0,5,2010,Normal,127000,1,0,1,1,0,1,0,Brick,86.0,1,0.0
378,381,382,20,FV,60.0,7200,0,Lvl,Inside,flat,Somerst,Norm,1Fam,1Story,7,5,4024036,2006,Gable,None,0.0,4,PConc,16,1,Unf,0,1293,25,1301,1,2,0,2,1,4,Typ,1,4,Attchd,RFn,572,TA,216,8,2006,Partial,187750,1,0,1,1,0,1,0,Vinyl,0.0,0,0.0
379,382,383,60,RL,79.0,9245,1,Lvl,Inside,flat,CollgCr,Norm,1Fam,2Story,7,5,4024036,2006,Gable,None,0.0,4,PConc,16,3,Unf,0,939,25,1797,0,2,1,3,1,4,Typ,0,0,Attchd,RFn,639,TA,144,4,2007,Normal,213500,1,0,1,0,0,1,0,Vinyl,1.0,1,0.0
380,383,384,45,RH,60.0,9000,0,Lvl,Corner,flat,SawyerW,Norm,1Fam,1.5Unf,6,3,3717184,1950,Gable,None,0.0,3,BrkTil,4,1,Unf,0,784,9,784,0,1,0,2,1,3,Typ,0,0,Detchd,Unf,360,Fa,0,10,2009,Normal,76000,1,0,1,0,0,1,0,Wood,81.0,0,0.0
381,384,385,60,RL,80.0,53107,2,Low,Corner,sloped,ClearCr,Feedr,1Fam,2Story,6,5,3968064,1992,Gable,None,0.0,4,PConc,16,3,GLQ,985,595,25,1953,1,2,1,3,1,4,Typ,2,2,Attchd,Fin,501,TA,216,6,2007,Normal,240000,1,0,1,1,0,1,0,Wood,15.0,1,0.0
382,385,386,120,RL,43.0,3182,0,Lvl,Inside,flat,Blmngtn,Norm,TwnhsE,1Story,8,5,4016016,2005,Gable,BrkFace,16.0,4,PConc,16,1,GLQ,24,1232,25,1269,0,2,0,2,1,4,Typ,1,3,Attchd,Fin,430,TA,146,4,2010,Normal,192000,1,0,1,1,1,1,0,Vinyl,6.0,0,0.0
383,386,387,50,RL,58.0,8410,0,Lvl,FR2,flat,Edwards,Feedr,1Fam,1.5Fin,5,3,3648100,1996,Gambrel,None,0.0,3,PConc,9,1,Unf,0,658,9,1184,0,1,0,5,1,3,Typ,0,0,None,None,0,None,0,5,2006,AdjLand,81000,1,0,0,0,0,1,0,Wood,96.0,1,0.0
384,387,388,80,RL,72.0,7200,0,Lvl,Inside,flat,Edwards,Norm,1Fam,SLvl,6,6,3904576,1976,Hip,BrkFace,255.0,3,CBlock,9,3,ALQ,631,410,25,1125,1,1,0,3,1,3,Typ,1,2,Detchd,Unf,352,TA,296,10,2009,Abnorml,125000,0,0,1,1,1,1,0,Metal,33.0,0,0.0
385,388,389,20,RL,93.0,9382,1,Lvl,CulDSac,flat,CollgCr,Norm,1Fam,1Story,7,5,3996001,2000,Gable,BrkFace,125.0,4,PConc,16,1,Unf,0,1468,25,1479,0,2,0,3,1,4,Typ,0,0,Attchd,RFn,577,TA,120,7,2008,Normal,191000,1,0,1,0,1,1,0,Vinyl,9.0,0,0.0
386,389,390,60,RL,96.0,12474,0,Lvl,Inside,flat,NridgHt,Norm,1Fam,2Story,10,5,4028049,2008,Gable,Stone,272.0,5,PConc,25,3,GLQ,1280,402,25,2332,1,2,1,3,1,5,Typ,1,5,BuiltIn,Fin,846,TA,196,8,2008,Partial,426000,1,0,1,1,1,1,0,Vinyl,1.0,1,0.0
387,390,391,50,RL,50.0,8405,0,Lvl,Inside,flat,Edwards,Norm,1Fam,1.5Fin,5,8,3610000,1950,Gable,None,0.0,3,BrkTil,9,1,Rec,241,229,25,1367,1,1,0,4,1,3,Typ,0,0,Detchd,Unf,384,TA,0,4,2008,Normal,119000,1,0,1,0,0,1,0,Metal,108.0,1,0.0
388,391,392,60,RL,71.0,12209,1,Lvl,CulDSac,flat,Mitchel,Norm,1Fam,2Story,6,5,4004001,2002,Gable,None,0.0,3,PConc,25,1,ALQ,690,114,25,1961,1,2,1,3,1,4,Typ,1,3,BuiltIn,Fin,560,TA,125,6,2009,Normal,215000,1,0,1,1,0,1,0,Vinyl,8.0,1,0.0
389,392,393,20,RL,73.0,8339,1,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,7,3837681,1959,Gable,None,0.0,3,Slab,0,0,None,0,0,9,882,0,1,0,3,1,3,Typ,0,0,Attchd,RFn,294,TA,0,7,2007,Normal,106500,0,0,1,0,0,0,1,Metal,48.0,0,0.0
390,393,394,30,RL,52.0,7446,0,Lvl,Corner,flat,BrkSide,Feedr,1Fam,1Story,4,5,3767481,1950,Gable,None,0.0,3,CBlock,9,1,Rec,266,522,9,788,0,1,0,2,1,3,Typ,2,3,None,None,0,None,0,4,2006,Abnorml,100000,0,0,0,1,0,1,0,Wood,65.0,0,0.0
391,394,395,50,RL,60.0,10134,0,Lvl,Inside,flat,OldTown,Norm,1Fam,1.5Fin,5,6,3763600,1950,Gable,None,0.0,3,CBlock,9,1,Unf,0,735,16,1034,0,1,0,2,1,3,Typ,0,0,Detchd,Unf,240,TA,0,7,2007,Normal,109000,1,0,1,0,0,1,0,Metal,67.0,1,0.0
392,395,396,20,RL,68.0,9571,0,Lvl,Inside,flat,Edwards,Norm,1Fam,1Story,5,6,3825936,1956,Gable,None,0.0,3,CBlock,9,3,BLQ,739,405,9,1144,1,1,0,3,1,3,Typ,0,0,Attchd,Unf,596,TA,44,6,2010,Normal,129000,0,0,1,0,0,1,0,Wood,54.0,0,0.0
393,396,397,20,RL,60.0,7200,0,Low,Inside,flat,CollgCr,Norm,1Fam,1Story,5,5,3888784,1972,Hip,None,0.0,3,CBlock,9,3,Rec,777,117,9,894,0,1,0,2,1,3,Typ,0,0,Detchd,RFn,600,TA,215,9,2009,Normal,123000,0,0,1,0,0,1,0,Metal,37.0,0,0.0
394,397,398,60,RL,69.0,7590,0,Lvl,Inside,flat,NAmes,PosN,1Fam,2Story,5,5,3849444,1962,Gable,BrkFace,288.0,3,CBlock,9,1,ALQ,540,324,9,1812,0,2,0,4,1,3,Typ,1,3,Attchd,RFn,264,TA,0,7,2007,Normal,169500,1,0,1,1,1,1,0,Vinyl,45.0,1,0.0
395,398,399,30,RM,60.0,8967,0,Lvl,Corner,flat,IDOTRR,Norm,1Fam,1Story,5,2,3686400,1950,Gable,None,0.0,3,BrkTil,4,1,Unf,0,961,16,1077,0,1,0,2,1,3,Maj2,0,0,Detchd,Unf,338,Po,0,11,2007,Abnorml,67000,0,0,1,0,0,1,0,Metal,87.0,0,0.0
396,399,400,60,FV,65.0,8125,0,Lvl,Inside,flat,Somerst,Norm,1Fam,2Story,7,5,4024036,2007,Gable,Stone,100.0,4,PConc,16,1,GLQ,812,280,25,1550,1,2,0,2,1,4,Typ,0,0,Attchd,Fin,438,TA,0,10,2009,Normal,241000,1,0,1,0,1,1,0,Aggregate,3.0,1,0.0
397,400,401,120,RL,38.0,14963,2,Lvl,Inside,flat,Veenker,Norm,TwnhsE,1Story,8,5,3984016,1996,Gable,None,0.0,4,PConc,16,1,GLQ,786,474,25,1288,1,1,1,1,1,5,Typ,2,4,Attchd,Fin,500,TA,120,12,2008,Normal,245500,1,0,1,1,0,1,0,Brick,12.0,0,0.0
398,401,402,20,RL,65.0,8767,1,Lvl,Inside,flat,CollgCr,Norm,1Fam,1Story,7,5,4020025,2005,Gable,None,0.0,4,PConc,16,3,GLQ,24,1286,25,1310,0,2,0,3,1,4,Typ,1,4,Attchd,Fin,400,TA,0,7,2006,Partial,164990,0,0,1,1,0,1,0,Vinyl,1.0,0,0.0
399,402,403,30,RL,60.0,10200,0,Lvl,Inside,flat,Sawyer,Norm,1Fam,1Story,5,8,3763600,1997,Gable,None,0.0,3,PConc,9,1,Unf,0,672,25,672,0,1,0,2,1,3,Typ,0,0,Detchd,Unf,240,TA,168,8,2008,Normal,108000,0,0,1,0,0,1,0,Wood,68.0,0,0.0
400,403,404,60,RL,93.0,12090,0,Lvl,Corner,flat,NoRidge,Norm,1Fam,2Story,8,5,3992004,1998,Hip,BrkFace,650.0,4,PConc,16,1,Unf,0,1141,16,2263,0,2,1,4,1,4,Typ,1,3,BuiltIn,Fin,420,TA,144,7,2006,Abnorml,258000,1,0,1,1,1,1,0,Vinyl,8.0,1,0.0
401,404,405,60,RL,65.0,10364,1,Lvl,Inside,flat,Gilbert,Norm,1Fam,2Story,6,5,3980025,1996,Gable,None,0.0,3,PConc,16,1,Unf,0,806,16,1572,0,2,1,3,1,3,Typ,1,3,BuiltIn,Fin,373,TA,0,5,2007,Normal,168000,1,0,1,1,0,1,0,Metal,12.0,1,0.0
402,405,406,20,RL,71.0,9991,1,Lvl,Corner,flat,Sawyer,Feedr,1Fam,1Story,4,4,3904576,1993,Gable,None,0.0,3,CBlock,9,1,BLQ,1116,165,25,1620,1,2,0,3,1,3,Min1,1,3,Attchd,Unf,490,TA,120,6,2009,Normal,150000,1,0,1,1,0,1,0,Wood,33.0,0,0.0
403,406,407,50,RL,51.0,10480,0,Lvl,Inside,flat,SWISU,Norm,1Fam,1.5Fin,6,5,3748096,1950,Gable,None,0.0,3,BrkTil,9,1,Unf,0,1064,25,1639,0,1,0,3,1,3,Maj2,0,0,Detchd,Unf,240,TA,0,3,2008,Normal,115000,0,0,1,0,0,1,0,Metal,72.0,0,1.0
404,407,408,70,RL,63.0,15576,0,Lvl,Inside,flat,Crawfor,Norm,1Fam,2Story,6,7,3667225,1976,Gable,None,0.0,3,BrkTil,16,1,Unf,0,840,25,1680,0,2,0,4,1,3,Typ,0,0,Attchd,Unf,308,TA,0,3,2008,Normal,177000,1,0,1,0,0,1,0,Wood,93.0,1,0.0
405,408,409,60,RL,109.0,14154,0,Lvl,Corner,flat,NridgHt,Norm,1Fam,2Story,7,5,4024036,2006,Gable,BrkFace,350.0,4,PConc,25,1,Unf,0,1063,25,2172,0,2,1,3,1,4,Typ,1,4,Attchd,RFn,947,TA,192,8,2007,Partial,280000,1,0,1,1,1,1,0,Vinyl,1.0,1,0.0
406,409,410,60,FV,85.0,10800,0,Lvl,Inside,flat,Somerst,Norm,1Fam,2Story,8,5,4028049,2008,Gable,Stone,100.0,4,PConc,25,1,GLQ,789,245,25,2078,1,2,1,3,1,5,Typ,1,4,Attchd,Fin,836,TA,0,4,2008,Partial,339750,1,0,1,1,1,1,0,Vinyl,1.0,1,0.0
407,410,411,20,RL,68.0,9571,0,Lvl,Inside,flat,Edwards,Norm,1Fam,1Story,5,3,3833764,1958,Gable,None,0.0,3,CBlock,9,1,Unf,0,1276,9,1276,0,1,0,3,1,3,Mod,0,0,Attchd,Unf,350,TA,0,6,2009,Abnorml,60000,0,0,1,0,0,1,0,Brick,51.0,0,0.0
408,411,412,190,RL,100.0,34650,0,Bnk,Inside,flat,Gilbert,Norm,2fmCon,1Story,5,5,3822025,1955,Hip,None,0.0,3,CBlock,9,2,Rec,1056,0,9,1056,1,1,0,3,1,3,Typ,0,0,Attchd,Fin,572,TA,264,1,2006,Normal,145000,0,0,1,0,0,1,0,Wood,51.0,0,0.0
409,412,413,20,FV,73.5,4403,2,Lvl,Inside,flat,Somerst,Norm,1Fam,1Story,7,5,4036081,2009,Gable,Stone,432.0,5,PConc,25,3,GLQ,578,892,25,1478,1,2,1,2,1,4,Typ,1,4,Attchd,Fin,484,TA,0,6,2010,Partial,222000,1,0,1,1,1,1,0,Metal,1.0,0,0.0
410,413,414,30,RM,56.0,8960,0,Lvl,Inside,flat,OldTown,Artery,1Fam,1Story,5,6,3713329,1950,Gable,None,0.0,3,CBlock,9,1,Unf,0,1008,16,1028,0,1,0,2,1,3,Typ,1,4,Detchd,Unf,360,TA,0,3,2010,Normal,115000,1,0,1,1,0,1,0,Wood,83.0,0,0.0
411,414,415,60,RL,59.0,11228,2,Lvl,CulDSac,flat,SawyerW,Norm,1Fam,2Story,7,5,3972049,1993,Gable,None,0.0,4,PConc,16,1,BLQ,50,499,25,2097,0,2,1,3,1,4,Typ,1,3,Attchd,Unf,678,TA,196,12,2008,Normal,228000,1,0,1,1,0,1,0,Vinyl,15.0,1,0.0
